district_name,zone,year,ghi_annual,yoy_change,yoy_pct_change
Baitadi,"Far-West Hills",2013,1621.60,-115.20,-6.63
Baitadi,"Far-West Hills",2014,1722.14,100.54,6.20
Baitadi,"Far-West Hills",2015,1682.10,-40.04,-2.33
Baitadi,"Far-West Hills",2016,1645.63,-36.47,-2.17
Baitadi,"Far-West Hills",2017,1654.07,8.44,0.51
Baitadi,"Far-West Hills",2018,1651.74,-2.33,-0.14
Baitadi,"Far-West Hills",2019,1681.49,29.75,1.80
Baitadi,"Far-West Hills",2020,1647.11,-34.38,-2.04
Baitadi,"Far-West Hills",2021,1620.78,-26.33,-1.60
Baitadi,"Far-West Hills",2022,1663.05,42.27,2.61
Baitadi,"Far-West Hills",2023,1684.06,21.01,1.26
Bajhang,"Far-West Hills",2005,1518.86,NULL,NULL
Bajhang,"Far-West Hills",2006,1506.89,-11.97,-0.79
Bajhang,"Far-West Hills",2007,1465.85,-41.04,-2.72
Bajhang,"Far-West Hills",2008,1477.33,11.48,0.78
Bajhang,"Far-West Hills",2009,1576.61,99.28,6.72
Bajhang,"Far-West Hills",2010,1537.50,-39.11,-2.48
Bajhang,"Far-West Hills",2011,1457.91,-79.59,-5.18
Bajhang,"Far-West Hills",2012,1512.02,54.11,3.71
Bajhang,"Far-West Hills",2013,1463.97,-48.05,-3.18
Bajhang,"Far-West Hills",2014,1515.17,51.20,3.50
Bajhang,"Far-West Hills",2015,1524.23,9.06,0.60
Bajhang,"Far-West Hills",2016,1484.08,-40.15,-2.63
Bajhang,"Far-West Hills",2017,1463.29,-20.79,-1.40
Bajhang,"Far-West Hills",2018,1474.68,11.39,0.78
Bajhang,"Far-West Hills",2019,1484.50,9.82,0.67
Bajhang,"Far-West Hills",2020,1470.90,-13.60,-0.92
Bajhang,"Far-West Hills",2021,1438.48,-32.42,-2.20
Bajhang,"Far-West Hills",2022,1495.28,56.80,3.95
Bajhang,"Far-West Hills",2023,1479.09,-16.19,-1.08
Bajura,"Far-West Hills",2005,1697.02,NULL,NULL
Bajura,"Far-West Hills",2006,1677.10,-19.92,-1.17
Bajura,"Far-West Hills",2007,1635.23,-41.87,-2.50
Bajura,"Far-West Hills",2008,1645.82,10.59,0.65
Bajura,"Far-West Hills",2009,1747.99,102.17,6.21
Bajura,"Far-West Hills",2010,1705.63,-42.36,-2.42
Bajura,"Far-West Hills",2011,1630.71,-74.92,-4.39
Bajura,"Far-West Hills",2012,1694.22,63.51,3.89
Bajura,"Far-West Hills",2013,1623.82,-70.40,-4.16
Bajura,"Far-West Hills",2014,1715.17,91.35,5.63
Bajura,"Far-West Hills",2015,1700.32,-14.85,-0.87
Bajura,"Far-West Hills",2016,1645.09,-55.23,-3.25
Bajura,"Far-West Hills",2017,1636.84,-8.25,-0.50
Bajura,"Far-West Hills",2018,1656.01,19.17,1.17
Bajura,"Far-West Hills",2019,1652.15,-3.86,-0.23
Bajura,"Far-West Hills",2020,1642.30,-9.85,-0.60
Bajura,"Far-West Hills",2021,1580.29,-62.01,-3.78
Bajura,"Far-West Hills",2022,1667.92,87.63,5.55
Bajura,"Far-West Hills",2023,1635.15,-32.77,-1.96
Banke,"Mid-West Terai",2005,1863.40,NULL,NULL
Banke,"Mid-West Terai",2006,1868.70,5.30,0.28
Banke,"Mid-West Terai",2007,1782.70,-86.00,-4.60
Banke,"Mid-West Terai",2008,1769.62,-13.08,-0.73
Banke,"Mid-West Terai",2009,1900.62,131.00,7.40
Banke,"Mid-West Terai",2010,1828.98,-71.64,-3.77
Banke,"Mid-West Terai",2011,1818.58,-10.40,-0.57
Banke,"Mid-West Terai",2012,1891.84,73.26,4.03
Banke,"Mid-West Terai",2013,1745.31,-146.53,-7.75
Banke,"Mid-West Terai",2014,1856.99,111.68,6.40
Banke,"Mid-West Terai",2015,1815.11,-41.88,-2.26
Banke,"Mid-West Terai",2016,1786.75,-28.36,-1.56
Banke,"Mid-West Terai",2017,1813.92,27.17,1.52
Banke,"Mid-West Terai",2018,1840.25,26.33,1.45
Banke,"Mid-West Terai",2019,1782.18,-58.07,-3.16
Banke,"Mid-West Terai",2020,1739.29,-42.89,-2.41
Banke,"Mid-West Terai",2021,1707.84,-31.45,-1.81
Banke,"Mid-West Terai",2022,1816.13,108.29,6.34
Banke,"Mid-West Terai",2023,1826.36,10.23,0.56
Bara,"Madhesh Terai",2005,1850.28,NULL,NULL
Bara,"Madhesh Terai",2006,1845.31,-4.97,-0.27
Bara,"Madhesh Terai",2007,1748.53,-96.78,-5.24
Bara,"Madhesh Terai",2008,1773.71,25.18,1.44
Bara,"Madhesh Terai",2009,1861.12,87.41,4.93
Bara,"Madhesh Terai",2010,1835.69,-25.43,-1.37
Bara,"Madhesh Terai",2011,1778.80,-56.89,-3.10
Bara,"Madhesh Terai",2012,1885.89,107.09,6.02
Bara,"Madhesh Terai",2013,1779.36,-106.53,-5.65
Bara,"Madhesh Terai",2014,1790.32,10.96,0.62
Bara,"Madhesh Terai",2015,1791.85,1.53,0.09
Bara,"Madhesh Terai",2016,1752.70,-39.15,-2.18
Bara,"Madhesh Terai",2017,1771.57,18.87,1.08
Bara,"Madhesh Terai",2018,1816.26,44.69,2.52
Bara,"Madhesh Terai",2019,1794.61,-21.65,-1.19
Bara,"Madhesh Terai",2020,1695.15,-99.46,-5.54
Bara,"Madhesh Terai",2021,1717.78,22.63,1.33
Bara,"Madhesh Terai",2022,1811.47,93.69,5.45
Bara,"Madhesh Terai",2023,1848.03,36.56,2.02
Bardiya,"Mid-West Terai",2005,1850.83,NULL,NULL
Bardiya,"Mid-West Terai",2006,1851.28,0.45,0.02
Bardiya,"Mid-West Terai",2007,1770.32,-80.96,-4.37
Bardiya,"Mid-West Terai",2008,1756.48,-13.84,-0.78
Bardiya,"Mid-West Terai",2009,1886.09,129.61,7.38
Bardiya,"Mid-West Terai",2010,1821.02,-65.07,-3.45
Bardiya,"Mid-West Terai",2011,1797.77,-23.25,-1.28
Bardiya,"Mid-West Terai",2012,1872.19,74.42,4.14
Bardiya,"Mid-West Terai",2013,1727.73,-144.46,-7.72
Bardiya,"Mid-West Terai",2014,1845.89,118.16,6.84
Bardiya,"Mid-West Terai",2015,1795.97,-49.92,-2.70
Bardiya,"Mid-West Terai",2016,1770.20,-25.77,-1.43
Bardiya,"Mid-West Terai",2017,1803.12,32.92,1.86
Bardiya,"Mid-West Terai",2018,1814.79,11.67,0.65
Bardiya,"Mid-West Terai",2019,1770.40,-44.39,-2.45
Bardiya,"Mid-West Terai",2020,1737.86,-32.54,-1.84
Bardiya,"Mid-West Terai",2021,1693.08,-44.78,-2.58
Bardiya,"Mid-West Terai",2022,1792.42,99.34,5.87
Bardiya,"Mid-West Terai",2023,1812.07,19.65,1.10
Bhaktapur,"Central Hills",2005,1722.89,NULL,NULL
Bhaktapur,"Central Hills",2006,1678.43,-44.46,-2.58
Bhaktapur,"Central Hills",2007,1584.33,-94.10,-5.61
Bhaktapur,"Central Hills",2008,1630.27,45.94,2.90
Bhaktapur,"Central Hills",2009,1707.39,77.12,4.73
Bhaktapur,"Central Hills",2010,1684.88,-22.51,-1.32
Bhaktapur,"Central Hills",2011,1623.79,-61.09,-3.63
Bhaktapur,"Central Hills",2012,1745.69,121.90,7.51
Bhaktapur,"Central Hills",2013,1606.46,-139.23,-7.98
Bhaktapur,"Central Hills",2014,1654.70,48.24,3.00
Bhaktapur,"Central Hills",2015,1629.20,-25.50,-1.54
Bhaktapur,"Central Hills",2016,1589.57,-39.63,-2.43
Bhaktapur,"Central Hills",2017,1629.70,40.13,2.52
Bhaktapur,"Central Hills",2018,1642.27,12.57,0.77
Bhaktapur,"Central Hills",2019,1626.13,-16.14,-0.98
Bhaktapur,"Central Hills",2020,1549.14,-76.99,-4.73
Bhaktapur,"Central Hills",2021,1551.91,2.77,0.18
Bhaktapur,"Central Hills",2022,1621.97,70.06,4.51
Bhaktapur,"Central Hills",2023,1686.59,64.62,3.98
Bhojpur,"Eastern Hills",2005,1644.05,NULL,NULL
Bhojpur,"Eastern Hills",2006,1623.46,-20.59,-1.25
Bhojpur,"Eastern Hills",2007,1536.70,-86.76,-5.34
Bhojpur,"Eastern Hills",2008,1567.62,30.92,2.01
Bhojpur,"Eastern Hills",2009,1590.13,22.51,1.44
Bhojpur,"Eastern Hills",2010,1582.46,-7.67,-0.48
Bhojpur,"Eastern Hills",2011,1553.54,-28.92,-1.83
Bhojpur,"Eastern Hills",2012,1650.56,97.02,6.25
Bhojpur,"Eastern Hills",2013,1561.90,-88.66,-5.37
Bhojpur,"Eastern Hills",2014,1582.79,20.89,1.34
Bhojpur,"Eastern Hills",2015,1540.84,-41.95,-2.65
Bhojpur,"Eastern Hills",2016,1526.27,-14.57,-0.95
Bhojpur,"Eastern Hills",2017,1546.61,20.34,1.33
Bhojpur,"Eastern Hills",2018,1516.13,-30.48,-1.97
Bhojpur,"Eastern Hills",2019,1550.32,34.19,2.26
Bhojpur,"Eastern Hills",2020,1458.06,-92.26,-5.95
Bhojpur,"Eastern Hills",2021,1535.55,77.49,5.31
Bhojpur,"Eastern Hills",2022,1551.61,16.06,1.05
Bhojpur,"Eastern Hills",2023,1628.52,76.91,4.96
Chitwan,"Western Terai",2005,1749.46,NULL,NULL
Chitwan,"Western Terai",2006,1718.88,-30.58,-1.75
Chitwan,"Western Terai",2007,1602.05,-116.83,-6.80
Chitwan,"Western Terai",2008,1660.81,58.76,3.67
Chitwan,"Western Terai",2009,1745.80,84.99,5.12
Chitwan,"Western Terai",2010,1713.41,-32.39,-1.86
Chitwan,"Western Terai",2011,1648.01,-65.40,-3.82
Chitwan,"Western Terai",2012,1783.33,135.32,8.21
Chitwan,"Western Terai",2013,1625.13,-158.20,-8.87
Chitwan,"Western Terai",2014,1679.89,54.76,3.37
Chitwan,"Western Terai",2015,1664.81,-15.08,-0.90
Chitwan,"Western Terai",2016,1627.92,-36.89,-2.22
Chitwan,"Western Terai",2017,1653.06,25.14,1.54
Chitwan,"Western Terai",2018,1665.39,12.33,0.75
Chitwan,"Western Terai",2019,1672.17,6.78,0.41
Chitwan,"Western Terai",2020,1568.71,-103.46,-6.19
Chitwan,"Western Terai",2021,1569.18,0.47,0.03
Chitwan,"Western Terai",2022,1661.88,92.70,5.91
Chitwan,"Western Terai",2023,1734.10,72.22,4.35
Dadeldhura,"Far-West Hills",2005,1717.37,NULL,NULL
Dadeldhura,"Far-West Hills",2006,1701.41,-15.96,-0.93
Dadeldhura,"Far-West Hills",2007,1627.39,-74.02,-4.35
Dadeldhura,"Far-West Hills",2008,1636.95,9.56,0.59
Dadeldhura,"Far-West Hills",2009,1775.90,138.95,8.49
Dadeldhura,"Far-West Hills",2010,1724.86,-51.04,-2.87
Dadeldhura,"Far-West Hills",2011,1632.44,-92.42,-5.36
Dadeldhura,"Far-West Hills",2012,1726.34,93.90,5.75
Dadeldhura,"Far-West Hills",2013,1617.08,-109.26,-6.33
Dadeldhura,"Far-West Hills",2014,1705.70,88.62,5.48
Dadeldhura,"Far-West Hills",2015,1674.64,-31.06,-1.82
Dadeldhura,"Far-West Hills",2016,1646.54,-28.10,-1.68
Dadeldhura,"Far-West Hills",2017,1653.33,6.79,0.41
Dadeldhura,"Far-West Hills",2018,1654.75,1.42,0.09
Dadeldhura,"Far-West Hills",2019,1664.04,9.29,0.56
Dadeldhura,"Far-West Hills",2020,1635.70,-28.34,-1.70
Dadeldhura,"Far-West Hills",2021,1611.80,-23.90,-1.46
Dadeldhura,"Far-West Hills",2022,1657.51,45.71,2.84
Dadeldhura,"Far-West Hills",2023,1679.61,22.10,1.33
Dailekh,"Mid-West Hills",2005,1788.04,NULL,NULL
Dailekh,"Mid-West Hills",2006,1769.50,-18.54,-1.04
Dailekh,"Mid-West Hills",2007,1704.69,-64.81,-3.66
Dailekh,"Mid-West Hills",2008,1707.15,2.46,0.14
Dailekh,"Mid-West Hills",2009,1834.34,127.19,7.45
Dailekh,"Mid-West Hills",2010,1788.81,-45.53,-2.48
Dailekh,"Mid-West Hills",2011,1715.39,-73.42,-4.10
Dailekh,"Mid-West Hills",2012,1804.70,89.31,5.21
Dailekh,"Mid-West Hills",2013,1671.23,-133.47,-7.40
Dailekh,"Mid-West Hills",2014,1795.07,123.84,7.41
Dailekh,"Mid-West Hills",2015,1746.39,-48.68,-2.71
Dailekh,"Mid-West Hills",2016,1708.01,-38.38,-2.20
Dailekh,"Mid-West Hills",2017,1726.72,18.71,1.10
Dailekh,"Mid-West Hills",2018,1743.94,17.22,1.00
Dailekh,"Mid-West Hills",2019,1712.33,-31.61,-1.81
Dailekh,"Mid-West Hills",2020,1689.97,-22.36,-1.31
Dailekh,"Mid-West Hills",2021,1642.52,-47.45,-2.81
Dailekh,"Mid-West Hills",2022,1733.56,91.04,5.54
Dailekh,"Mid-West Hills",2023,1737.07,3.51,0.20
Dang,"Inner Terai",2005,1854.75,NULL,NULL
Dang,"Inner Terai",2006,1837.40,-17.35,-0.94
Dang,"Inner Terai",2007,1747.16,-90.24,-4.91
Dang,"Inner Terai",2008,1758.28,11.12,0.64
Dang,"Inner Terai",2009,1880.37,122.09,6.94
Dang,"Inner Terai",2010,1822.37,-58.00,-3.08
Dang,"Inner Terai",2011,1787.27,-35.10,-1.93
Dang,"Inner Terai",2012,1883.20,95.93,5.37
Dang,"Inner Terai",2013,1711.33,-171.87,-9.13
Dang,"Inner Terai",2014,1835.51,124.18,7.26
Dang,"Inner Terai",2015,1784.42,-51.09,-2.78
Dang,"Inner Terai",2016,1748.71,-35.71,-2.00
Dang,"Inner Terai",2017,1775.11,26.40,1.51
Dang,"Inner Terai",2018,1805.00,29.89,1.68
Dang,"Inner Terai",2019,1765.58,-39.42,-2.18
Dang,"Inner Terai",2020,1697.26,-68.32,-3.87
Dang,"Inner Terai",2021,1676.36,-20.90,-1.23
Dang,"Inner Terai",2022,1792.90,116.54,6.95
Dang,"Inner Terai",2023,1812.07,19.17,1.07
Darchula,"Far-West Hills",2005,1704.09,NULL,NULL
Darchula,"Far-West Hills",2006,1696.94,-7.15,-0.42
Darchula,"Far-West Hills",2007,1645.40,-51.54,-3.04
Darchula,"Far-West Hills",2008,1639.53,-5.87,-0.36
Darchula,"Far-West Hills",2009,1778.75,139.22,8.49
Darchula,"Far-West Hills",2010,1730.99,-47.76,-2.69
Darchula,"Far-West Hills",2011,1620.96,-110.03,-6.36
Darchula,"Far-West Hills",2012,1710.21,89.25,5.51
Darchula,"Far-West Hills",2013,1634.06,-76.15,-4.45
Darchula,"Far-West Hills",2014,1703.64,69.58,4.26
Darchula,"Far-West Hills",2015,1697.11,-6.53,-0.38
Darchula,"Far-West Hills",2016,1653.34,-43.77,-2.58
Darchula,"Far-West Hills",2017,1635.74,-17.60,-1.06
Darchula,"Far-West Hills",2018,1648.09,12.35,0.76
Darchula,"Far-West Hills",2019,1671.27,23.18,1.41
Darchula,"Far-West Hills",2020,1658.82,-12.45,-0.74
Darchula,"Far-West Hills",2021,1622.91,-35.91,-2.16
Darchula,"Far-West Hills",2022,1667.45,44.54,2.74
Darchula,"Far-West Hills",2023,1661.48,-5.97,-0.36
Dhading,"Central Hills",2005,1703.69,NULL,NULL
Dhading,"Central Hills",2006,1657.67,-46.02,-2.70
Dhading,"Central Hills",2007,1561.13,-96.54,-5.82
Dhading,"Central Hills",2008,1618.30,57.17,3.66
Dhading,"Central Hills",2009,1690.26,71.96,4.45
Dhading,"Central Hills",2010,1663.83,-26.43,-1.56
Dhading,"Central Hills",2011,1601.07,-62.76,-3.77
Dhading,"Central Hills",2012,1722.84,121.77,7.61
Dhading,"Central Hills",2013,1574.47,-148.37,-8.61
Dhading,"Central Hills",2014,1637.00,62.53,3.97
Dhading,"Central Hills",2015,1620.56,-16.44,-1.00
Dhading,"Central Hills",2016,1575.36,-45.20,-2.79
Dhading,"Central Hills",2017,1614.58,39.22,2.49
Dhading,"Central Hills",2018,1606.28,-8.30,-0.51
Dhading,"Central Hills",2019,1615.24,8.96,0.56
Dhading,"Central Hills",2020,1527.61,-87.63,-5.43
Dhading,"Central Hills",2021,1513.34,-14.27,-0.93
Dhading,"Central Hills",2022,1598.63,85.29,5.64
Dhading,"Central Hills",2023,1669.87,71.24,4.46
Dhankuta,"Eastern Hills",2005,1621.99,NULL,NULL
Dhankuta,"Eastern Hills",2006,1608.75,-13.24,-0.82
Dhankuta,"Eastern Hills",2007,1530.54,-78.21,-4.86
Dhankuta,"Eastern Hills",2008,1545.07,14.53,0.95
Dhankuta,"Eastern Hills",2009,1569.93,24.86,1.61
Dhankuta,"Eastern Hills",2010,1567.45,-2.48,-0.16
Dhankuta,"Eastern Hills",2011,1537.80,-29.65,-1.89
Dhankuta,"Eastern Hills",2012,1627.17,89.37,5.81
Dhankuta,"Eastern Hills",2013,1544.95,-82.22,-5.05
Dhankuta,"Eastern Hills",2014,1573.83,28.88,1.87
Dhankuta,"Eastern Hills",2015,1534.75,-39.08,-2.48
Dhankuta,"Eastern Hills",2016,1517.11,-17.64,-1.15
Dhankuta,"Eastern Hills",2017,1544.23,27.12,1.79
Dhankuta,"Eastern Hills",2018,1504.25,-39.98,-2.59
Dhankuta,"Eastern Hills",2019,1536.67,32.42,2.16
Dhankuta,"Eastern Hills",2020,1448.64,-88.03,-5.73
Dhankuta,"Eastern Hills",2021,1522.19,73.55,5.08
Dhankuta,"Eastern Hills",2022,1543.03,20.84,1.37
Dhankuta,"Eastern Hills",2023,1611.33,68.30,4.43
Dhanusha,"Madhesh Terai",2005,1796.77,NULL,NULL
Dhanusha,"Madhesh Terai",2006,1795.34,-1.43,-0.08
Dhanusha,"Madhesh Terai",2007,1706.47,-88.87,-4.95
Dhanusha,"Madhesh Terai",2008,1723.79,17.32,1.01
Dhanusha,"Madhesh Terai",2009,1790.86,67.07,3.89
Dhanusha,"Madhesh Terai",2010,1775.92,-14.94,-0.83
Dhanusha,"Madhesh Terai",2011,1723.82,-52.10,-2.93
Dhanusha,"Madhesh Terai",2012,1837.27,113.45,6.58
Dhanusha,"Madhesh Terai",2013,1722.12,-115.15,-6.27
Dhanusha,"Madhesh Terai",2014,1731.64,9.52,0.55
Dhanusha,"Madhesh Terai",2015,1712.36,-19.28,-1.11
Dhanusha,"Madhesh Terai",2016,1695.18,-17.18,-1.00
Dhanusha,"Madhesh Terai",2017,1717.02,21.84,1.29
Dhanusha,"Madhesh Terai",2018,1745.38,28.36,1.65
Dhanusha,"Madhesh Terai",2019,1752.29,6.91,0.40
Dhanusha,"Madhesh Terai",2020,1636.52,-115.77,-6.61
Dhanusha,"Madhesh Terai",2021,1692.54,56.02,3.42
Dhanusha,"Madhesh Terai",2022,1748.11,55.57,3.28
Dhanusha,"Madhesh Terai",2023,1805.48,57.37,3.28
Dolakha,"Central Hills",2005,1712.11,NULL,NULL
Dolakha,"Central Hills",2006,1660.38,-51.73,-3.02
Dolakha,"Central Hills",2007,1592.63,-67.75,-4.08
Dolakha,"Central Hills",2008,1625.01,32.38,2.03
Dolakha,"Central Hills",2009,1683.45,58.44,3.60
Dolakha,"Central Hills",2010,1668.60,-14.85,-0.88
Dolakha,"Central Hills",2011,1592.49,-76.11,-4.56
Dolakha,"Central Hills",2012,1748.77,156.28,9.81
Dolakha,"Central Hills",2013,1600.87,-147.90,-8.46
Dolakha,"Central Hills",2014,1656.49,55.62,3.47
Dolakha,"Central Hills",2015,1638.44,-18.05,-1.09
Dolakha,"Central Hills",2016,1578.29,-60.15,-3.67
Dolakha,"Central Hills",2017,1614.58,36.29,2.30
Dolakha,"Central Hills",2018,1618.64,4.06,0.25
Dolakha,"Central Hills",2019,1648.77,30.13,1.86
Dolakha,"Central Hills",2020,1539.79,-108.98,-6.61
Dolakha,"Central Hills",2021,1539.76,-0.03,0.00
Dolakha,"Central Hills",2022,1593.85,54.09,3.51
Dolakha,"Central Hills",2023,1663.29,69.44,4.36
Dolpa,"High Mountain",2005,1881.12,NULL,NULL
Dolpa,"High Mountain",2006,1814.12,-67.00,-3.56
Dolpa,"High Mountain",2007,1808.05,-6.07,-0.33
Dolpa,"High Mountain",2008,1793.59,-14.46,-0.80
Dolpa,"High Mountain",2009,1877.37,83.78,4.67
Dolpa,"High Mountain",2010,1803.55,-73.82,-3.93
Dolpa,"High Mountain",2011,1794.06,-9.49,-0.53
Dolpa,"High Mountain",2012,1859.24,65.18,3.63
Dolpa,"High Mountain",2013,1787.45,-71.79,-3.86
Dolpa,"High Mountain",2014,1893.40,105.95,5.93
Dolpa,"High Mountain",2015,1876.45,-16.95,-0.90
Dolpa,"High Mountain",2016,1779.99,-96.46,-5.14
Dolpa,"High Mountain",2017,1808.54,28.55,1.60
Dolpa,"High Mountain",2018,1789.90,-18.64,-1.03
Dolpa,"High Mountain",2019,1822.68,32.78,1.83
Dolpa,"High Mountain",2020,1822.54,-0.14,-0.01
Dolpa,"High Mountain",2021,1727.04,-95.50,-5.24
Dolpa,"High Mountain",2022,1803.26,76.22,4.41
Dolpa,"High Mountain",2023,1809.13,5.87,0.33
Doti,"Far-West Hills",2005,1644.40,NULL,NULL
Doti,"Far-West Hills",2006,1628.71,-15.69,-0.95
Doti,"Far-West Hills",2007,1570.12,-58.59,-3.60
Doti,"Far-West Hills",2008,1590.67,20.55,1.31
Doti,"Far-West Hills",2009,1700.06,109.39,6.88
Doti,"Far-West Hills",2010,1660.53,-39.53,-2.33
Doti,"Far-West Hills",2011,1575.04,-85.49,-5.15
Doti,"Far-West Hills",2012,1646.18,71.14,4.52
Doti,"Far-West Hills",2013,1562.17,-84.01,-5.10
Doti,"Far-West Hills",2014,1639.98,77.81,4.98
Doti,"Far-West Hills",2015,1628.02,-11.96,-0.73
Doti,"Far-West Hills",2016,1596.85,-31.17,-1.91
Doti,"Far-West Hills",2017,1585.27,-11.58,-0.73
Doti,"Far-West Hills",2018,1598.94,13.67,0.86
Doti,"Far-West Hills",2019,1591.26,-7.68,-0.48
Doti,"Far-West Hills",2020,1573.82,-17.44,-1.10
Doti,"Far-West Hills",2021,1549.95,-23.87,-1.52
Doti,"Far-West Hills",2022,1606.05,56.10,3.62
Doti,"Far-West Hills",2023,1602.27,-3.78,-0.24
Gorkha,"Central Hills",2005,1654.68,NULL,NULL
Gorkha,"Central Hills",2006,1610.21,-44.47,-2.69
Gorkha,"Central Hills",2007,1513.22,-96.99,-6.02
Gorkha,"Central Hills",2008,1572.16,58.94,3.90
Gorkha,"Central Hills",2009,1645.40,73.24,4.66
Gorkha,"Central Hills",2010,1614.57,-30.83,-1.87
Gorkha,"Central Hills",2011,1552.15,-62.42,-3.87
Gorkha,"Central Hills",2012,1674.76,122.61,7.90
Gorkha,"Central Hills",2013,1525.43,-149.33,-8.92
Gorkha,"Central Hills",2014,1592.44,67.01,4.39
Gorkha,"Central Hills",2015,1574.30,-18.14,-1.14
Gorkha,"Central Hills",2016,1530.30,-44.00,-2.79
Gorkha,"Central Hills",2017,1563.80,33.50,2.19
Gorkha,"Central Hills",2018,1556.17,-7.63,-0.49
Gorkha,"Central Hills",2019,1577.64,21.47,1.38
Gorkha,"Central Hills",2020,1481.85,-95.79,-6.07
Gorkha,"Central Hills",2021,1468.92,-12.93,-0.87
Gorkha,"Central Hills",2022,1553.40,84.48,5.75
Gorkha,"Central Hills",2023,1626.05,72.65,4.68
Gulmi,"Western Hills",2005,1622.46,NULL,NULL
Gulmi,"Western Hills",2006,1592.71,-29.75,-1.83
Gulmi,"Western Hills",2007,1493.99,-98.72,-6.20
Gulmi,"Western Hills",2008,1535.62,41.63,2.79
Gulmi,"Western Hills",2009,1630.85,95.23,6.20
Gulmi,"Western Hills",2010,1583.94,-46.91,-2.88
Gulmi,"Western Hills",2011,1521.41,-62.53,-3.95
